Feature,Importance,Normalized_importance,Cumulative Importance
F091502A,42,0.0013442580975547304,0.8605812315964666
C005001000,42,0.0013442580975547304,0.8619254896940214
F041403B,42,0.0013442580975547304,0.8632697477915762
PropertyRightsNature,42,0.0013442580975547304,0.864614005889131
F091701A,41,0.001312251952374856,0.8659262578415058
F033001B,40,0.0012802458071949814,0.8672065036487008
B001201000,40,0.0012802458071949814,0.8684867494558958
F061201B,40,0.0012802458071949814,0.8697669952630908
F091601A,40,0.0012802458071949814,0.8710472410702857
AssetSize,40,0.0012802458071949814,0.8723274868774807
F081202B,39,0.001248239662015107,0.8735757265394959
F061601B,39,0.001248239662015107,0.874823966201511
F012201B,39,0.001248239662015107,0.8760722058635262
C003000000,39,0.001248239662015107,0.8773204455255413
F033301B,39,0.001248239662015107,0.8785686851875565
A002000000,39,0.001248239662015107,0.8798169248495716
F092102B,39,0.001248239662015107,0.8810651645115868
F010801B,38,0.0012162335168352323,0.882281398028422
F041503B,38,0.0012162335168352323,0.8834976315452572
F020104,37,0.001184227371655358,0.8846818589169125
F091501A,37,0.001184227371655358,0.8858660862885679
F100401A,37,0.001184227371655358,0.8870503136602232
F040802B,37,0.001184227371655358,0.8882345410318786
F040301B,37,0.001184227371655358,0.889418768403534
D000204000,36,0.0011522212264754833,0.8905709896300095
F082802A,36,0.0011522212264754833,0.891723210856485
F081401B,36,0.0011522212264754833,0.8928754320829605
F041003B,36,0.0011522212264754833,0.894027653309436
F050402B,36,0.0011522212264754833,0.8951798745359115
F080602A,35,0.0011202150812956088,0.8963000896172071
A001000000,35,0.0011202150812956088,0.8974203046985026
F091001A,35,0.0011202150812956088,0.8985405197797982
F040902B,34,0.0010882089361157342,0.8996287287159139
F030701A,34,0.0010882089361157342,0.9007169376520296
B001100000,34,0.0010882089361157342,0.9018051465881454
F012001A,34,0.0010882089361157342,0.9028933555242611
F091702A,34,0.0010882089361157342,0.9039815644603768
F053001B,34,0.0010882089361157342,0.9050697733964925
F101001A,33,0.0010562027909358598,0.9061259761874284
F092101B,33,0.0010562027909358598,0.9071821789783643
F061701B,33,0.0010562027909358598,0.9082383817693002
F040603B,33,0.0010562027909358598,0.909294584560236
F110201B,33,0.0010562027909358598,0.9103507873511719
F092401B,32,0.0010241966457559851,0.911374983996928
F053101B,32,0.0010241966457559851,0.912399180642684
F091102A,32,0.0010241966457559851,0.91342337728844
F041203B,32,0.0010241966457559851,0.9144475739341961
A002100000,31,0.0009921905005761105,0.9154397644347722
F090502B,31,0.0009921905005761105,0.9164319549353482
F041703B,31,0.0009921905005761105,0.9174241454359243
F030401A,30,0.0009601843553962361,0.9183843297913206
F091802B,30,0.0009601843553962361,0.9193445141467168
F092501B,30,0.0009601843553962361,0.920304698502113
F091602A,30,0.0009601843553962361,0.9212648828575093
F090802B,30,0.0009601843553962361,0.9222250672129055
F030501A,30,0.0009601843553962361,0.9231852515683018
F081701B,29,0.0009281782102163616,0.9241134297785182
F080702B,29,0.0009281782102163616,0.9250416079887346
C005000000,29,0.0009281782102163616,0.925969786198951
F041803B,29,0.0009281782102163616,0.9268979644091674
F080803B,29,0.0009281782102163616,0.9278261426193838
C006000000,29,0.0009281782102163616,0.9287543208296002
F092201B,29,0.0009281782102163616,0.9296824990398166
F041202B,28,0.000896172065036487,0.930578671104853
F100901A,28,0.000896172065036487,0.9314748431698895
F092602B,28,0.000896172065036487,0.9323710152349259
F040703B,27,0.0008641659198566125,0.9332351811547825
ActualDebtRatio,27,0.0008641659198566125,0.9340993470746392
F092202B,27,0.0008641659198566125,0.9349635129944958
MngmFinancialBack,27,0.0008641659198566125,0.9358276789143524
F091002A,27,0.0008641659198566125,0.936691844834209
F100501A,27,0.0008641659198566125,0.9375560107540656
F012601B,27,0.0008641659198566125,0.9384201766739222
C001001000,26,0.000832159774676738,0.939252336448599
F091902B,26,0.000832159774676738,0.9400844962232757
C001100000,26,0.000832159774676738,0.9409166559979525
B001101000,26,0.000832159774676738,0.9417488157726293
F082801A,26,0.000832159774676738,0.942580975547306
F040704C,26,0.000832159774676738,0.9434131353219828
F061402B,26,0.000832159774676738,0.9442452950966596
F092001B,25,0.0008001536294968634,0.9450454487261564
F041802B,25,0.0008001536294968634,0.9458456023556532
F053201B,25,0.0008001536294968634,0.94664575598515
F050401B,25,0.0008001536294968634,0.9474459096146468
F100903A,25,0.0008001536294968634,0.9482460632441436
F010101A,24,0.0007681474843169889,0.9490142107284606
F041702B,24,0.0007681474843169889,0.9497823582127776
F080902B,24,0.0007681474843169889,0.9505505056970945
F090501B,23,0.0007361413391371143,0.9512866470362317
D000200000,23,0.0007361413391371143,0.9520227883753688
F110303B,23,0.0007361413391371143,0.9527589297145059
F090402B,23,0.0007361413391371143,0.9534950710536431
F092601B,23,0.0007361413391371143,0.9542312123927802
F092002B,22,0.0007041351939572397,0.9549353475867375
F091202A,22,0.0007041351939572397,0.9556394827806948
F060101B,22,0.0007041351939572397,0.9563436179746521
F052901B,22,0.0007041351939572397,0.9570477531686093
F011801A,22,0.0007041351939572397,0.9577518883625666
F052301B,22,0.0007041351939572397,0.9584560235565239
F040604C,21,0.0006721290487773652,0.9591281526053013
F110801B,21,0.0006721290487773652,0.9598002816540786
F081103B,21,0.0006721290487773652,0.9604724107028559
F050801B,21,0.0006721290487773652,0.9611445397516333
F052401B,20,0.0006401229035974907,0.9617846626552308
B002000101,20,0.0006401229035974907,0.9624247855588283
C001000000,20,0.0006401229035974907,0.9630649084624258
F090602B,20,0.0006401229035974907,0.9637050313660233
F040304C,19,0.0006081167584176162,0.9643131481244409
F092103B,19,0.0006081167584176162,0.9649212648828586
B001300000,19,0.0006081167584176162,0.9655293816412762
F041201B,19,0.0006081167584176162,0.9661374983996939
F051201B,19,0.0006081167584176162,0.9667456151581115
F091801B,19,0.0006081167584176162,0.9673537319165292
ContrshrNature,18,0.0005761106132377416,0.9679298425297669
F080802B,18,0.0005761106132377416,0.9685059531430046
F041701B,18,0.0005761106132377416,0.9690820637562423
F081003B,18,0.0005761106132377416,0.96965817436948
F080601A,17,0.0005441044680578671,0.9702022788375378
F090702B,17,0.0005441044680578671,0.9707463833055957
F101002A,17,0.0005441044680578671,0.9712904877736536
F090104B,17,0.0005441044680578671,0.9718345922417114
F081102B,17,0.0005441044680578671,0.9723786967097693
F011601A,16,0.0005120983228779926,0.9728907950326473
F090701B,16,0.0005120983228779926,0.9734028933555253
F081002B,16,0.0005120983228779926,0.9739149916784033
F082803A,16,0.0005120983228779926,0.9744270900012814
D000100000,16,0.0005120983228779926,0.9749391883241594
F051401B,16,0.0005120983228779926,0.9754512866470374
F051701C,15,0.00048009217769811804,0.9759313788247355
B004000000,15,0.00048009217769811804,0.9764114710024335
F080201A,15,0.00048009217769811804,0.9768915631801316
F020103,15,0.00048009217769811804,0.9773716553578297
B002000000,15,0.00048009217769811804,0.9778517475355277
F011701A,15,0.00048009217769811804,0.9783318397132258
D000101000,14,0.0004480860325182435,0.978779925745744
F050601B,14,0.0004480860325182435,0.9792280117782622
F081301B,14,0.0004480860325182435,0.9796760978107805
F060201C,14,0.0004480860325182435,0.9801241838432987
F080101A,14,0.0004480860325182435,0.9805722698758169
F090601B,13,0.000416079887338369,0.9809883497631553
F050501B,13,0.000416079887338369,0.9814044296504937
F052101B,13,0.000416079887338369,0.9818205095378321
F082602B,13,0.000416079887338369,0.9822365894251704
F090801B,12,0.00038407374215849446,0.982620663167329
F053103B,12,0.00038407374215849446,0.9830047369094875
F050503B,12,0.00038407374215849446,0.9833888106516461
F012301B,12,0.00038407374215849446,0.9837728843938046
F050301B,11,0.0003520675969786199,0.9841249519907832
F051501B,11,0.0003520675969786199,0.9844770195877618
F050403B,11,0.0003520675969786199,0.9848290871847404
B006000101,11,0.0003520675969786199,0.985181154781719
F061302C,10,0.00032006145179874534,0.9855012162335177
F052201C,10,0.00032006145179874534,0.9858212776853165
B006000000,10,0.00032006145179874534,0.9861413391371152
F090201B,10,0.00032006145179874534,0.986461400588914
F090902B,10,0.00032006145179874534,0.9867814620407127
B001000000,10,0.00032006145179874534,0.9871015234925115
F050201B,9,0.0002880553066188708,0.9873895787991304
F040204B,9,0.0002880553066188708,0.9876776341057493
F082601B,9,0.0002880553066188708,0.9879656894123682
F052001C,9,0.0002880553066188708,0.9882537447189871
F080401A,8,0.0002560491614389963,0.988509793880426
F053102B,8,0.0002560491614389963,0.988765843041865
F090202B,8,0.0002560491614389963,0.9890218922033039
F061001C,8,0.0002560491614389963,0.9892779413647429
F080503A,8,0.0002560491614389963,0.9895339905261819
F011201A,8,0.0002560491614389963,0.9897900396876208
F040504B,8,0.0002560491614389963,0.9900460888490598
F050202B,8,0.0002560491614389963,0.9903021380104987
F080102A,8,0.0002560491614389963,0.9905581871719377
F100302B,8,0.0002560491614389963,0.9908142363333766
F082703A,7,0.00022404301625912176,0.9910382793496357
F100102B,7,0.00022404301625912176,0.9912623223658948
F051901C,7,0.00022404301625912176,0.991486365382154
F101302C,7,0.00022404301625912176,0.9917104083984131
F100202B,7,0.00022404301625912176,0.9919344514146722
F050701B,7,0.00022404301625912176,0.9921584944309313
F090401B,7,0.00022404301625912176,0.9923825374471904
F050302B,7,0.00022404301625912176,0.9926065804634495
B003000000,7,0.00022404301625912176,0.9928306234797086
F090101B,6,0.00019203687107924723,0.9930226603507879
F092202C,6,0.00019203687107924723,0.9932146972218672
F060401C,6,0.00019203687107924723,0.9934067340929464
F050102B,6,0.00019203687107924723,0.9935987709640257
F041004B,5,0.00016003072589937267,0.993758801689925
A004000000,5,0.00016003072589937267,0.9939188324158243
F050103B,5,0.00016003072589937267,0.9940788631417237
F031101A,5,0.00016003072589937267,0.994238893867623
F050303B,5,0.00016003072589937267,0.9943989245935223
F090102B,5,0.00016003072589937267,0.9945589553194216
F053002B,5,0.00016003072589937267,0.9947189860453209
F051101B,5,0.00016003072589937267,0.9948790167712203
F092301C,5,0.00016003072589937267,0.9950390474971196
F090501C,4,0.00012802458071949814,0.995167072077839
F053301C,4,0.00012802458071949814,0.9952950966585585
F050502B,4,0.00012802458071949814,0.995423121239278
F091901C,4,0.00012802458071949814,0.9955511458199975
F041804B,4,0.00012802458071949814,0.995679170400717
F090103B,4,0.00012802458071949814,0.9958071949814364
